@RELATION weka

@ATTRIBUTE doc		STRING
@ATTRIBUTE classX	{0.0, 1.0}

@DATA
"late strange fictional famous strange right wide brilliant excessive timothy brilliant huge brian dead young replace try overweight dated old develop old rearise brian hang second interpersonal crazy spinal funny brian personal ",1.0
"miserable hear thirthysomething factual amazing know cynical millennium come lame civilized okay ",1.0
"tired cramped new york simple simple special main capable special favorite good william perfect favorite old dark particular favorite build twostory private fanciful relatable stupid biggest best necessary uncomfortable ",1.0
"spooky fat iconic classic international chinese hk real theatrical yearswestern various hk martial supernatural blended create unique forget poor unnecessary original bestdirector watchful legendary martial wonderful unthinkablethe prolific white classic work high best outlandish confusing wonderful blue tinged everpresent ghostly breathtaking weave dreamlike silken worn romantic present simple create memorable simple amazing worldly amazing highest major wong fantastic chinese vital important perfect modern traditional great romantic female choral finest hk add female vocal beautiful wonderful innocent popular outstanding innocent mild comic right classic radiant epitome ethereal tragic stunning subtle gruesome veteran great wise grumpy fine eccentric annoying practised entertaining crude stop motionanimatronic great munch unsuspecting cheesy effective black complete vicious outstanding outstanding evil dead lethal french crazy grow big long slimy open fang outrageous romantic main fantastic unforgettable classic true martial fantastic lush beautiful important ",1.0
"little clever interesting metaphysical hollywood wrong dont big white hard outside subject prime natali infinite make claustrophobic tell worth different strongest believablethe right unnecessary bloody whimsical silly odd add crass small isnt cut little little objectionable entertaining good independent ",1.0
"worth splendid unravel great resourceful solve enjoy ",1.0
"brilliant macarthur pacific korean believe controversial american general second macarthur massive yearn political presidential great touch devoted brilliant appropriate possible compelling truman sarcastic angry frustrated general wont intriguing devoted general happy little early fine best military worth ",1.0
"wonderful mean beautiful terrific special awesome hear beautiful smart lovely cute great terrific beautiful beautiful beautiful ",1.0
"come creative famous different amazing great comprehensive great glad single ",1.0
"true great high senior tortured unknown tony bright try true true real total present true perfect great right teenage mary tony true ",1.0
"tough stark brilliant cinematic novel profound adult heinous adult clear finest antiwar inherent march adulthooda small civil invasive nighttime nilo wideeyed psychic mindswe male morell private frail gay male delusional free internal white graphic destroy individual graphic raw prepared imaginable utmost intense splendid fine difficult musical tough unafraid english subtitlesgrady ",1.0
"yearly follow multiple financial various fair middle rich influential various special average different different wealthy philip tony merkle decent barter trained clear fond drunk difficult urban ambitious loving cute large ruin end end remind destroy rare know dramatic realistic ober green ",1.0
"classic powell live convince important nutty plenty armstrong great supporting gleason help dr solve strange directed great ",1.0
"disney enduring little absolute favorite human daily english trueas make wonderful evil physical doesnt idiotic catty make sympathetic sure nice ofwhich lovely lovely rich favorite big wonderful heartfelt musical provide classic excellent sick warm happy ",1.0
"perfect excellent perfect amazing great constant real great best clever funny ",1.0
"powerful atomic instant antidotebut mad silly dark laughable little great dark rainy great good franic farfetched swallow ",1.0
"short cinematic intense sensitive civil adult reclusive ill young squeamish logical excellent written musical thoughtful ",1.0
